,chr,indexStart,indexEnd,L,p.value
6444,chr19,418511,418511,1,0.012185543
13482,chr9,233498,233499,2,0.041686842
10483,chr5,135044,135045,2,0.041704477
24809,chr2,62967,62968,2,0.041748319
3489,chr13,315042,315043,2,0.041807101
4418,chr15,345254,345255,2,0.041815918
2187,chr11,267176,267177,2,0.041826695
21814,chr16,363704,363705,2,0.041842615
12604,chr7,206547,206548,2,0.041851677
15599,chr1,34953,34953,1,0.012233548
4192,chr14,336471,336471,1,0.012234283
6511,chr19,420150,420151,2,0.04187568
11443,chr6,168280,168281,2,0.041879599
4447,chr15,346217,346218,2,0.041905316
2533,chr11,280962,280963,2,0.041960914
11799,chr6,179226,179227,2,0.042026309
2447,chr11,276863,276864,2,0.042089255
2649,chr11,285424,285425,2,0.04209097
7645,chr2,67665,67666,2,0.042197512
30431,chr6,157951,157952,2,0.042201431
10088,chr5,124231,124232,2,0.042202656
5779,chr17,395197,395198,2,0.042248457
9043,chr3,94750,94751,2,0.042293768
6215,chr19,409512,409513,2,0.042297442
5679,chr17,391461,391462,2,0.042301606
1899,chr10,256315,256316,2,0.042302341
31924,chr7,191042,191043,2,0.042317036
1015,chr1,34826,34826,1,0.012365318
14105,chr1,2754,2755,2,0.042327323
14439,chr1,7985,7986,2,0.04238733
5136,chr16,371948,371949,2,0.042394923
7972,chr20,431799,431799,1,0.012389811
13468,chr9,233022,233023,2,0.042468155
23043,chr17,397957,397957,1,0.012415773
9669,chr4,112697,112698,2,0.042500241
4322,chr15,341330,341331,2,0.042514201
32185,chr7,197303,197304,2,0.042571024
17443,chr11,265099,265100,2,0.042629072
4288,chr15,340353,340354,2,0.042652339
26169,chr22,445644,445645,2,0.042696426
9548,chr4,109759,109760,2,0.042710632
5579,chr17,388661,388661,1,0.012478474
8237,chr20,440017,440018,2,0.042718225
10929,chr6,145394,145394,1,0.012483373
11462,chr6,168646,168647,2,0.042748105
23622,chr19,421195,421195,1,0.012489251
1433,chr10,242570,242571,2,0.042758637
24820,chr2,63070,63070,1,0.012491455
12098,chr7,188406,188406,1,0.012493415
6112,chr18,404992,404993,2,0.042775292
3995,chr14,329536,329537,2,0.042777986
347,chr1,13859,13860,2,0.042793417
31987,chr7,192350,192351,2,0.042799785
3214,chr12,304634,304635,2,0.042824767
16150,chr10,238386,238387,2,0.042839708
21448,chr15,351324,351325,2,0.04284975
8794,chr3,85563,85564,2,0.042877671
13247,chr8,227775,227776,2,0.042887713
9160,chr3,97292,97293,2,0.042935229
3947,chr14,328391,328392,2,0.042937678
5025,chr16,367006,367007,2,0.043007727
1642,chr10,250379,250380,2,0.043008951
8930,chr3,89773,89774,2,0.043050099
3571,chr13,317669,317670,2,0.043083899
4148,chr14,334552,334553,2,0.04309639
5144,chr16,372751,372752,2,0.043170112
5469,chr17,384831,384832,2,0.043188727
19167,chr12,299906,299907,2,0.043205872
13910,chrX,461931,461932,2,0.043216648
2741,chr11,288249,288250,2,0.043220077
13840,chrX,460289,460290,2,0.043258041
26433,chr22,453509,453510,2,0.043267838
11178,chr6,152817,152817,1,0.012661434
21025,chr15,342148,342148,1,0.012669516
15779,chr1,38039,38041,3,0.017453895
25597,chr2,77865,77866,2,0.043393974
6393,chr19,416868,416869,2,0.043447858
16427,chr10,243626,243627,2,0.0434579
11847,chr7,181310,181311,2,0.043485577
12986,chr8,218587,218588,2,0.043494884
25882,chr20,438409,438409,1,0.01270552
30358,chr6,155485,155486,2,0.043508845
2345,chr11,271132,271133,2,0.043524765
18238,chr11,281680,281681,2,0.043541665
8690,chr3,81256,81257,2,0.04357473
23775,chr19,426487,426488,2,0.043596528
27864,chr4,106551,106552,2,0.043613673
17345,chr11,263102,263103,2,0.043614897
5992,chr18,402720,402721,2,0.043629593
5333,chr17,379956,379957,2,0.043668046
31538,chr7,181802,181803,2,0.043750586
32805,chr8,211069,211070,2,0.043750831
22639,chr17,386401,386402,2,0.043772875
26018,chr21,441897,441898,2,0.043774834
10247,chr5,129082,129083,2,0.043823574
2965,chr12,296851,296852,2,0.043824064
29559,chr5,136170,136171,2,0.043824799
4851,chr16,362350,362351,2,0.043824799
12334,chr7,196150,196151,2,0.043832636
16518,chr10,245112,245113,2,0.043857374
1284,chr1,43714,43715,2,0.043858599
5912,chr18,401322,401323,2,0.043859333
7501,chr2,65204,65205,2,0.043975183
30764,chr6,164837,164838,2,0.043981306
24870,chr2,64262,64263,2,0.043992818
27805,chr4,104903,104903,1,0.012858354
26842,chr3,86949,86950,2,0.04400139
30003,chr6,145887,145887,1,0.012863742
9605,chr4,110814,110815,2,0.044025148
3695,chr13,320576,320577,2,0.044035925
30381,chr6,155836,155836,1,0.012886275
10241,chr5,129048,129048,1,0.012891909
11855,chr7,181668,181669,2,0.044117975
22746,chr17,390130,390131,2,0.0441819
1053,chr1,36216,36217,2,0.044284034
3003,chr12,297726,297727,2,0.044304608
1958,chr10,258208,258209,2,0.044308527
2589,chr11,282867,282868,2,0.044320528
28913,chr5,124911,124912,2,0.044332285
21423,chr15,350842,350843,2,0.04444789
32746,chr8,209747,209747,1,0.013010453
20763,chr14,335522,335523,2,0.044505937
11095,chr6,150373,150374,2,0.044569863
11693,chr6,174545,174546,2,0.044570842
682,chr1,23034,23035,2,0.044602193
15096,chr1,23645,23646,2,0.04461199
5220,chr17,375735,375736,2,0.044617378
15283,chr1,29020,29021,2,0.04464579
10505,chr5,135701,135702,2,0.044659261
3725,chr13,321692,321693,2,0.0446622
8317,chr21,442737,442738,2,0.044680569
576,chr1,20595,20596,2,0.04469306
24107,chr2,48632,48633,2,0.044719757
8152,chr20,437079,437080,2,0.044738617
9540,chr4,109699,109700,2,0.044746699
26720,chr3,83974,83974,1,0.013088339
11509,chr6,169789,169790,2,0.044771437
12331,chr7,196138,196139,2,0.04479348
25604,chr2,78003,78004,2,0.044824096
9722,chr4,113848,113849,2,0.044842955
16527,chr10,245197,245198,2,0.044902962
10317,chr5,130634,130635,2,0.044939211
2529,chr11,280942,280943,2,0.044981828
6799,chr19,429347,429347,1,0.013152755
25318,chr2,72049,72050,2,0.045003626
25819,chr20,437034,437035,2,0.045016362
1317,chr10,237955,237956,2,0.045029098
6332,chr19,414353,414354,2,0.045036446
12687,chr8,211152,211153,2,0.045040365
12032,chr7,187341,187342,2,0.045076124
15981,chr1,41855,41856,2,0.045081023
25462,chr2,74939,74940,2,0.04510478
20869,chr15,338736,338737,2,0.04510527
34241,chrX,460734,460735,2,0.045125599
34122,chrX,456647,456648,2,0.045162583
15414,chr1,31600,31601,2,0.045191974
24428,chr2,55025,55026,2,0.045265452
1221,chr1,41981,41982,2,0.045286515
30534,chr6,159846,159847,2,0.045317131
1240,chr1,42354,42355,2,0.045332071
6085,chr18,404485,404486,2,0.04533697
26676,chr3,82734,82735,2,0.0453524
20614,chr14,332534,332535,2,0.045390609
12860,chr8,215855,215856,2,0.045399671
12159,chr7,190505,190506,2,0.045413877
2718,chr11,287529,287530,2,0.045429552
10709,chr5,138017,138018,2,0.045442778
13911,chrX,461939,461940,2,0.045467026
29662,chr5,139137,139138,2,0.045480007
311,chr1,12428,12429,2,0.045492743
25737,chr20,434689,434690,2,0.045514051
1448,chr10,243298,243299,2,0.045517725
26794,chr3,85790,85791,2,0.04551895
6322,chr19,414141,414142,2,0.045564751
9760,chr4,115115,115116,2,0.045612511
22309,chr17,376832,376833,2,0.045621819
21061,chr15,343025,343026,2,0.045625492
8041,chr20,433773,433774,2,0.045637249
30609,chr6,160958,160959,2,0.045657823
5930,chr18,401517,401518,2,0.04566566
8112,chr20,435860,435860,1,0.013352124
9868,chr4,118362,118363,2,0.04569848
27818,chr4,105279,105280,2,0.045710482
27829,chr4,105622,105622,1,0.013359227
5256,chr17,376788,376789,2,0.045734484
28810,chr5,122742,122743,2,0.045737423
14589,chr1,11397,11398,2,0.045821923
22329,chr17,377762,377762,1,0.013394006
22310,chr17,376864,376865,2,0.045858662
29925,chr5,143742,143743,2,0.045887318
494,chr1,18338,18339,2,0.045887318
25688,chr20,433551,433552,2,0.045905443
32183,chr7,197072,197073,2,0.045908137
9962,chr4,119892,119893,2,0.045910096
813,chr1,26761,26762,2,0.045948549
1759,chr10,253039,253040,2,0.045961041
17976,chr11,275451,275452,2,0.045990432
16696,chr10,247681,247682,2,0.046030844
2516,chr11,280315,280315,1,0.013450829
6073,chr18,403989,403990,2,0.046057541
23654,chr19,422466,422467,2,0.046059011
6798,chr19,429337,429338,2,0.04609575
535,chr1,19485,19486,2,0.046108731
10140,chr5,125770,125771,2,0.046156981
7438,chr2,63284,63285,2,0.04619519
10679,chr5,137876,137877,2,0.046221642
4391,chr15,344023,344023,1,0.013510346
10699,chr5,137968,137969,2,0.046233643
34077,chrX,455137,455138,2,0.046248583
18775,chr12,290462,290463,2,0.046263034
2165,chr11,266516,266516,1,0.013525042
2445,chr11,276769,276770,2,0.046285812
530,chr1,19046,19047,2,0.046301732
13406,chr9,231768,231769,2,0.046305406
4251,chr15,339478,339479,2,0.04631055
1658,chr10,250840,250841,2,0.046322796
672,chr1,22996,22997,2,0.046361984
2022,chr10,260595,260595,1,0.013551738
13123,chr8,222528,222529,2,0.046366393
18625,chr11,287961,287962,2,0.046371536
26793,chr3,85762,85763,2,0.046389661
12263,chr7,194141,194142,2,0.046445504
4634,chr15,351988,351989,2,0.046466812
18469,chr11,285616,285617,2,0.046477834
30580,chr6,160729,160730,2,0.046482487
120,chr1,5693,5693,1,0.013594111
10428,chr5,133465,133466,2,0.046533187
9261,chr3,100731,100732,2,0.046563068
17827,chr11,271832,271833,2,0.046579968
7160,chr2,54423,54424,2,0.046612788
10065,chr5,123840,123840,1,0.013624236
2340,chr11,270951,270952,2,0.046646098
841,chr1,27819,27820,2,0.046661283
23452,chr19,413003,413004,2,0.046685041
23525,chr19,416734,416735,2,0.046715902
10414,chr5,132691,132692,2,0.046725944
33630,chr9,228778,228778,1,0.013653872
31706,chr7,187732,187733,2,0.046753375
25171,chr2,70180,70180,1,0.013659996
3394,chr12,311473,311473,1,0.013670772
9846,chr4,117700,117701,2,0.046802605
4868,chr16,363003,363003,1,0.01367861
5411,chr17,383612,383613,2,0.046824649
3647,chr13,319774,319774,1,0.013703837
13957,chrX,462811,462812,2,0.046888574
11425,chr6,167863,167864,2,0.046892003
17349,chr11,263117,263118,2,0.046896167
5116,chr16,370932,370933,2,0.046926293
7387,chr2,61577,61578,2,0.046975278
6323,chr19,414192,414192,1,0.013736412
11408,chr6,166982,166983,2,0.047003444
9092,chr3,95937,95938,2,0.04706737
552,chr1,20255,20256,2,0.047119784
7746,chr2,70868,70869,2,0.047119784
11902,chr7,183789,183790,2,0.047130561
5537,chr17,387223,387223,1,0.01379544
16329,chr10,241764,241765,2,0.047176607
6116,chr18,405204,405205,2,0.047187384
5924,chr18,401448,401449,2,0.047209182
13983,chrX,463391,463392,2,0.047254493
31851,chr7,190008,190009,2,0.047346095
11416,chr6,167425,167426,2,0.047352463
8419,chr22,446165,446166,2,0.04737916
14474,chr1,8944,8945,2,0.047401449
8010,chr20,432962,432963,2,0.047407817
33012,chr8,215112,215113,2,0.047410266
14092,chr1,2441,2442,2,0.047417124
20200,chr13,322514,322515,2,0.047432309
3102,chr12,300348,300349,2,0.047448719
11985,chr7,186110,186111,2,0.047465619
23010,chr17,396841,396842,2,0.047557221
31129,chr6,172648,172649,2,0.047560895
6457,chr19,418597,418598,2,0.047587592
32069,chr7,194472,194473,2,0.047608656
17457,chr11,265148,265149,2,0.047640006
21192,chr15,345282,345282,1,0.013954396
34416,chrX,464302,464303,2,0.04766205
13366,chr9,230771,230772,2,0.04767699
30904,chr6,167540,167541,2,0.047688257
22897,chr17,393870,393871,2,0.047700258
12672,chr8,210776,210777,2,0.047704422
8731,chr3,82820,82821,2,0.047742385
9417,chr4,106040,106041,2,0.047752182
34307,chrX,462400,462401,2,0.047846479
16526,chr10,245194,245195,2,0.04785799
15345,chr1,29593,29594,2,0.047858725
7959,chr20,431553,431554,2,0.047947633
1505,chr10,245536,245537,2,0.047952287
8088,chr20,434397,434397,1,0.014049917
32657,chr7,208307,208307,1,0.01405849
24534,chr2,57461,57462,2,0.047994659
11450,chr6,168440,168441,2,0.047995393
13870,chrX,460822,460823,2,0.048015477
7989,chr20,432386,432387,2,0.048027969
9342,chr4,103754,103754,1,0.014069022
2903,chr12,294143,294144,2,0.048036541
616,chr1,21624,21625,2,0.048061768
17156,chr10,257452,257453,2,0.048068136
13612,chrX,453894,453895,2,0.048068136
991,chr1,33706,33707,2,0.048085526
14219,chr1,3774,3775,2,0.048151656
1646,chr10,250546,250547,2,0.048173944
5907,chr18,401108,401109,2,0.048175659
1310,chr1,44647,44648,2,0.048193293
7220,chr2,55817,55818,2,0.048218031
1762,chr10,253077,253078,2,0.048229053
10704,chr5,137989,137990,2,0.048287835
12043,chr7,187393,187394,2,0.048322859
5289,chr17,377698,377699,2,0.048342943
6048,chr18,403540,403541,2,0.048364986
1864,chr10,255540,255541,2,0.048394377
4229,chr14,338250,338251,2,0.048427197
15183,chr1,25444,25445,2,0.048462957
8176,chr20,437654,437655,2,0.048487204
4135,chr14,334414,334415,2,0.048525902
782,chr1,26260,26261,2,0.048548436
169,chr1,7137,7137,1,0.014235326
2774,chr12,289220,289221,2,0.048558233
33742,chr9,231354,231355,2,0.048602319
7423,chr2,62572,62573,2,0.048638813
12108,chr7,188534,188535,2,0.04871474
28424,chr4,116085,116085,1,0.014312723
32607,chr7,207422,207423,2,0.048822263
10847,chr5,142188,142189,2,0.048968973
13117,chr8,222438,222439,2,0.048995915
21701,chr16,358890,358891,2,0.049002038
4405,chr15,344518,344519,2,0.0490449
9369,chr4,105359,105360,2,0.049054942
3118,chr12,301179,301180,2,0.04907772
6266,chr19,412168,412169,2,0.04907772
4507,chr15,348792,348793,2,0.049106866
34343,chrX,462998,462999,2,0.0491125
1212,chr1,41803,41804,2,0.049116663
7820,chr2,73002,73002,1,0.014414367
4835,chr16,360704,360704,1,0.014417796
5260,chr17,376820,376821,2,0.049166383
23026,chr17,397222,397223,2,0.049183038
33495,chr8,224468,224469,2,0.049183528
12531,chr7,204634,204635,2,0.049216103
6141,chr18,406038,406039,2,0.049235942
11391,chr6,166448,166449,2,0.049281253
30778,chr6,165326,165327,2,0.049347873
18414,chr11,284446,284447,2,0.049361099
11821,chr7,180672,180672,1,0.014492498
3324,chr12,308144,308144,1,0.014495682
22464,chr17,382285,382286,2,0.049380203
32764,chr8,210056,210057,2,0.049384367
14373,chr1,7160,7161,2,0.049414003
6497,chr19,419661,419661,1,0.014513317
33101,chr8,217065,217066,2,0.049447803
9586,chr4,110628,110629,2,0.049514667
18735,chr12,289936,289937,2,0.049530833
16170,chr10,238869,238870,2,0.049535486
28690,chr4,120344,120345,2,0.049548467
28856,chr5,123648,123649,2,0.049564387
6115,chr18,405202,405203,2,0.049582512
3074,chr12,299529,299530,2,0.049583247
11595,chr6,171164,171164,1,0.014574548
11541,chr6,170019,170020,2,0.049641294
9593,chr4,110704,110704,1,0.014583365
5288,chr17,377681,377682,2,0.049667256
22157,chr16,371327,371328,2,0.049694443
9354,chr4,104420,104420,1,0.014609083
9348,chr4,103906,103906,1,0.014613246
10936,chr6,145562,145563,2,0.049796332
7936,chr2,77381,77382,2,0.049805884
25918,chr20,439528,439529,2,0.049811762
1324,chr10,239068,239068,1,0.014642393
6399,chr19,417133,417134,2,0.049822784
25751,chr20,434928,434929,2,0.049829642
8476,chr22,449061,449062,2,0.049831601
3882,chr14,326606,326607,2,0.049848746
8675,chr3,80854,80854,1,0.014654149
6613,chr19,424063,424064,2,0.049978802
5487,chr17,385336,385336,1,0.014707788
30123,chr6,148926,148926,1,0.014720279
24350,chr2,53610,53610,1,0.014729586
6024,chr18,403158,403159,2,0.050096611
12859,chr8,215846,215847,2,0.050129676
21963,chr16,367500,367500,1,0.01475016
28872,chr5,124008,124009,2,0.050160781
2388,chr11,273283,273284,2,0.050169354
6520,chr19,420447,420447,1,0.014770489
2150,chr11,265873,265873,1,0.014786899
591,chr1,20936,20936,1,0.014787878
26442,chr3,78320,78320,1,0.014787878
27786,chr4,104113,104114,2,0.05026316
14605,chr1,12130,12131,2,0.050264875
16171,chr10,238875,238876,2,0.0502661
18276,chr11,282139,282139,1,0.014794736
23421,chr19,411497,411498,2,0.050341292
933,chr1,31278,31279,2,0.050393216
14064,chr1,1865,1866,2,0.050397135
3916,chr14,326809,326809,1,0.014840782
29753,chr5,140767,140768,2,0.050427995
6403,chr19,417444,417445,2,0.05042922
29896,chr5,142937,142938,2,0.05044661
7655,chr2,67727,67728,2,0.050539926
11048,chr6,148697,148697,1,0.014891237
28799,chr5,122551,122551,1,0.014891972
10467,chr5,134540,134541,2,0.050620997
20863,chr15,338514,338515,2,0.050640101
21185,chr15,345000,345001,2,0.050664349
1218,chr1,41946,41947,2,0.050707945
9201,chr3,98597,98597,1,0.014940222
3295,chr12,306541,306542,2,0.050749338
26037,chr21,442470,442471,2,0.050782893
12031,chr7,187335,187336,2,0.050799793
7185,chr2,54910,54911,2,0.050806161
5993,chr18,402736,402737,2,0.050810814
3369,chr12,309676,309676,1,0.014976471
6918,chr2,46398,46399,2,0.050829918
167,chr1,7075,7076,2,0.050829918
13779,chrX,459254,459254,1,0.014982105
11152,chr6,152587,152588,2,0.050879883
22291,chr17,375935,375936,2,0.050915398
3666,chr13,319946,319947,2,0.050922011
12105,chr7,188494,188495,2,0.050954096
6980,chr2,48285,48286,2,0.050973935
4451,chr15,346391,346392,2,0.050983487
16520,chr10,245116,245117,2,0.050995978
2184,chr11,267148,267149,2,0.051016062
31388,chr6,177801,177802,2,0.051019246
19095,chr12,297092,297093,2,0.051028553
10255,chr5,129361,129362,2,0.051029778
17853,chr11,272276,272277,2,0.051079253
6825,chr19,430136,430137,2,0.051110603
22126,chr16,370653,370654,2,0.051137055
22463,chr17,382282,382283,2,0.051139015
18796,chr12,290970,290971,2,0.051144403
4400,chr15,344333,344334,2,0.051145138
3680,chr13,320149,320150,2,0.051167916
22984,chr17,396458,396459,2,0.051265151
25576,chr2,77280,77281,2,0.05128548
27484,chr3,96846,96847,2,0.051311442
13212,chr8,226526,226526,1,0.015125631
26257,chr22,449002,449003,2,0.051315851
25574,chr2,77272,77273,2,0.051327607
2574,chr11,282420,282421,2,0.051346467
25129,chr2,69141,69142,2,0.05135308
7008,chr2,49038,49039,2,0.051356019
23859,chr19,428620,428621,2,0.051400595
9235,chr3,99585,99586,2,0.051420189
16243,chr10,239800,239801,2,0.051463051
11183,chr6,152911,152911,1,0.015187352
26086,chr21,443495,443496,2,0.051511792
32906,chr8,212891,212891,1,0.015202783
16090,chr1,44218,44218,1,0.015208416
34374,chrX,463370,463371,2,0.051626172
3271,chr12,306074,306075,2,0.05164797
33569,chr8,226221,226222,2,0.05166585
13176,chr8,224952,224953,2,0.051675892
28173,chr4,111681,111682,2,0.051687403
30590,chr6,160787,160787,1,0.015247604
34071,chrX,454986,454987,2,0.051758922
10056,chr5,123350,123351,2,0.051844156
19563,chr12,309503,309504,2,0.051854932
10589,chr5,137331,137332,2,0.051879425
12554,chr7,205499,205500,2,0.05188016
32636,chr7,207903,207904,2,0.051890937
7451,chr2,63668,63669,2,0.0519458
6440,chr19,418393,418394,2,0.051966619
4510,chr15,348884,348885,2,0.051992826
5331,chr17,379832,379833,2,0.051997234
2260,chr11,268856,268856,1,0.015351942
28111,chr4,110952,110953,2,0.052024176
7407,chr2,61934,61935,2,0.05207806
9606,chr4,110896,110897,2,0.052099123
4589,chr15,351414,351414,1,0.015387212
32593,chr7,207234,207235,2,0.052141251
10103,chr5,124452,124453,2,0.052200523
30882,chr6,167040,167041,2,0.052205421
9314,chr4,102445,102445,1,0.015417337
21158,chr15,344833,344834,2,0.052245099
11469,chr6,168673,168674,2,0.052283797
6251,chr19,411090,411090,1,0.015445014
19403,chr12,304033,304033,1,0.015445014
59,chr1,3069,3070,2,0.052314658
9646,chr4,112028,112029,2,0.052344539
7632,chr2,67594,67595,2,0.052351397
6142,chr18,406040,406041,2,0.052358255
9190,chr3,98376,98377,2,0.05237295
21029,chr15,342350,342351,2,0.052408954
12706,chr8,211498,211499,2,0.052465042
5695,chr17,391993,391993,1,0.015516532
7012,chr2,49225,49226,2,0.052483902
10161,chr5,126543,126543,1,0.015526574
8161,chr20,437365,437366,2,0.052508884
4109,chr14,333692,333693,2,0.05252211
29798,chr5,141237,141237,1,0.015534902
25881,chr20,438408,438408,1,0.015538821
6454,chr19,418569,418569,1,0.015538821
13971,chrX,462977,462978,2,0.052556645
15339,chr1,29367,29368,2,0.052626938
32717,chr8,209330,209331,2,0.052655595
9873,chr4,118394,118395,2,0.052662208
7992,chr20,432574,432574,1,0.015585601
13866,chrX,460709,460710,2,0.052697722
3367,chr12,309592,309593,2,0.052700416
524,chr1,18619,18620,2,0.052723439
12025,chr7,187064,187065,2,0.052724174
43,chr1,2136,2137,2,0.052812347
3252,chr12,305948,305949,2,0.052886804
2785,chr12,289584,289585,2,0.052892193
11263,chr6,159831,159831,1,0.015660549
3874,chr14,326568,326568,1,0.015701696
5934,chr18,401534,401535,2,0.053070254
9423,chr4,106218,106219,2,0.053085684
4982,chr16,365661,365662,2,0.053132465
5911,chr18,401306,401306,1,0.015750191
24755,chr2,62120,62121,2,0.053219413
649,chr1,22377,22378,2,0.053262765
29110,chr5,127489,127490,2,0.053328405
6271,chr19,412300,412301,2,0.053351673
6437,chr19,418366,418367,2,0.053363185
10272,chr5,129931,129932,2,0.053380085
28919,chr5,124957,124958,2,0.0534276
1009,chr1,34651,34652,2,0.053432744
34051,chrX,454155,454156,2,0.05346042
4433,chr15,346016,346016,1,0.01585355
2895,chr12,293855,293855,1,0.015855265
25619,chr20,431663,431664,2,0.053545899
22814,chr17,391643,391643,1,0.015867756
25037,chr2,67132,67133,2,0.053569902
25923,chr20,439567,439567,1,0.015884656
2805,chr12,290287,290288,2,0.053616193
1535,chr10,246151,246152,2,0.053634073
4916,chr16,364122,364122,1,0.015909393
13024,chr8,219526,219527,2,0.053738656
11552,chr6,170220,170221,2,0.053768047
30603,chr6,160912,160913,2,0.053775395
14582,chr1,11264,11265,2,0.053788131
4776,chr16,358210,358211,2,0.053798418
19448,chr12,305506,305507,2,0.053820706
3770,chr13,322898,322899,2,0.053838341
5242,chr17,376544,376545,2,0.053842015
22428,chr17,380769,380770,2,0.053852546
3692,chr13,320565,320566,2,0.05387508
10601,chr5,137399,137400,2,0.053927739
7475,chr2,64125,64126,2,0.053944149
8309,chr21,442563,442564,2,0.053964722
23416,chr19,411306,411307,2,0.053973785
2375,chr11,272875,272876,2,0.054017136
4487,chr15,348157,348158,2,0.054042364
10316,chr5,130631,130632,2,0.054059019
33186,chr8,218921,218921,1,0.016041653
365,chr1,14634,14635,2,0.05407004
18611,chr11,287881,287882,2,0.05410335
15173,chr1,25214,25215,2,0.054108984
7806,chr2,72671,72672,2,0.054122455
29830,chr5,141843,141844,2,0.05413813
4607,chr15,351755,351756,2,0.054140579
32555,chr7,206156,206157,2,0.054148662
11650,chr6,173124,173125,2,0.054159683
9022,chr3,93673,93674,2,0.0542023
3476,chr13,314573,314573,1,0.016093822
7804,chr2,72620,72621,2,0.054283616
13124,chr8,222531,222532,2,0.054314231
24133,chr2,49583,49584,2,0.054324028
19524,chr12,308662,308663,2,0.054370074
20764,chr14,335527,335528,2,0.054419794
4909,chr16,364095,364096,2,0.054446491
70,chr1,3832,3833,2,0.054504294
12232,chr7,192612,192612,1,0.016173668
3206,chr12,304264,304265,2,0.05451703
22308,chr17,376738,376738,1,0.016179301
9854,chr4,117757,117758,2,0.054530011
5981,chr18,402522,402522,1,0.016181506
5384,chr17,382452,382452,1,0.01618273
14423,chr1,7842,7843,2,0.054623328
5976,chr18,402432,402432,1,0.016248125
7556,chr2,66417,66418,2,0.054749219
13043,chr8,220368,220369,2,0.054752403
3568,chr13,317655,317656,2,0.054756322
7611,chr2,67489,67490,2,0.054773957
10693,chr5,137937,137938,2,0.054815594
11694,chr6,174553,174553,1,0.016276047
8635,chr3,79400,79401,2,0.05492777
29765,chr5,140885,140886,2,0.054932669
12478,chr7,201649,201650,2,0.054972102
14797,chr1,17440,17440,1,0.016335809
11393,chr6,166455,166456,2,0.055040681
28882,chr5,124163,124164,2,0.055059785
9327,chr4,103119,103120,2,0.055073991
2687,chr11,286561,286562,2,0.055098238
26046,chr21,442684,442685,2,0.055127874
1211,chr1,41798,41799,2,0.055139386
431,chr1,16232,16232,1,0.016384794
27127,chr3,90983,90983,1,0.016401449
87,chr1,4379,4380,2,0.055197923
13576,chr9,237189,237190,2,0.055212374
30184,chr6,150380,150381,2,0.055239561
21574,chr16,353978,353979,2,0.055256216
30592,chr6,160793,160794,2,0.055276299
33401,chr8,222702,222703,2,0.055288546
28839,chr5,123046,123047,2,0.055295894
4633,chr15,351982,351982,1,0.01644627
6413,chr19,417730,417731,2,0.055329938
1723,chr10,252598,252599,2,0.055364473
28868,chr5,123939,123940,2,0.055366187
11009,chr6,147442,147443,2,0.055421295
1976,chr10,258802,258803,2,0.055424969
13662,chrX,455189,455190,2,0.055429133
15293,chr1,29081,29082,2,0.055462198
5787,chr17,395495,395495,1,0.016500644
19494,chr12,307070,307071,2,0.055499427
2146,chr11,265724,265725,2,0.055541554
32618,chr7,207682,207683,2,0.055567761
3249,chr12,305929,305930,2,0.055597642
33771,chr9,232163,232164,2,0.055598132
4131,chr14,334244,334245,2,0.055598867
263,chr1,10477,10478,2,0.055608174
5085,chr16,369871,369871,1,0.016543751
8354,chr21,443585,443585,1,0.016555262
30193,chr6,150920,150921,2,0.055666956
20762,chr14,335518,335519,2,0.055679692
6973,chr2,48164,48165,2,0.055687285
18679,chr12,288787,288788,2,0.05568802
17039,chr10,255476,255477,2,0.055704674
4569,chr15,350572,350573,2,0.055714227
570,chr1,20569,20569,1,0.016592491
13172,chr8,224749,224750,2,0.055802645
14057,chr1,1647,1648,2,0.055815626
4021,chr14,330236,330237,2,0.055882246
18343,chr11,283387,283387,1,0.016649314
8993,chr3,92689,92690,2,0.055968459
16921,chr10,251888,251889,2,0.056023078
30819,chr6,166167,166167,1,0.016687032
15690,chr1,36530,36531,2,0.056028221
25525,chr2,76158,76159,2,0.056168074
34072,chrX,454991,454991,1,0.01674508
9387,chr4,105704,105705,2,0.056200894
11343,chr6,164824,164825,2,0.056217549
13907,chrX,461792,461793,2,0.056234694
34274,chrX,461240,461241,2,0.056257472
9716,chr4,113782,113782,1,0.016767123
31570,chr7,183518,183519,2,0.056268983
29537,chr5,135906,135907,2,0.056300579
1127,chr1,39395,39396,2,0.056302538
8662,chr3,80554,80555,2,0.056314295
13892,chrX,461326,461327,2,0.056332419
10047,chr5,122878,122879,2,0.056361075
18823,chr12,291514,291514,1,0.016804352
11909,chr7,184066,184067,2,0.056431369
15459,chr1,32542,32542,1,0.016846969
23818,chr19,427667,427668,2,0.056505092
5356,chr17,381061,381062,2,0.056520032
13022,chr8,219442,219442,1,0.016881993
11749,chr6,176366,176367,2,0.056574406
12473,chr7,201356,201357,2,0.056630494
34205,chrX,459742,459742,1,0.016906486
10200,chr5,127889,127890,2,0.056652047
26456,chr3,78512,78513,2,0.056713768
25728,chr20,434556,434557,2,0.056776224
12675,chr8,210827,210828,2,0.056832067
7819,chr2,72998,72999,2,0.056866602
7213,chr2,55685,55686,2,0.05688889
34131,chrX,457264,457265,2,0.056893299
23599,chr19,419683,419683,1,0.017009354
10273,chr5,129935,129936,2,0.056940814
10854,chr5,142361,142361,1,0.017027969
5560,chr17,387894,387895,2,0.056999597
30504,chr6,159544,159545,2,0.057012333
4382,chr15,343790,343791,2,0.057048337
13128,chr8,222711,222712,2,0.057064012
4777,chr16,358213,358214,2,0.057064257
12123,chr7,188802,188803,2,0.057093893
