,chr,length,start,end,p
3508,chr17,2,390982,390983,0.01
3509,chr17,1,391003,391003,0.01
3510,chr17,5,391013,391017,0.01
3511,chr17,3,391026,391028,0.01
3512,chr17,1,391033,391033,0.01
3513,chr17,1,391045,391045,0.01
3514,chr17,1,391058,391058,0.01
3515,chr17,1,391066,391066,0.01
3516,chr17,1,391077,391077,0.01
3517,chr17,1,391081,391081,0.01
3518,chr17,1,391083,391083,0.01
3519,chr17,1,391092,391092,0.01
3520,chr17,1,391096,391096,0.01
3521,chr17,1,391131,391131,0.01
3522,chr17,1,391139,391139,0.01
3523,chr17,1,391143,391143,0.01
3524,chr17,1,391150,391150,0.01
3525,chr17,3,391182,391184,0.01
3526,chr17,1,391193,391193,0.01
3527,chr17,1,391195,391195,0.01
3528,chr17,1,391203,391203,0.01
3529,chr17,1,391211,391211,0.01
3530,chr17,1,391217,391217,0.01
3531,chr17,1,391219,391219,0.01
3532,chr17,1,391226,391226,0.01
3533,chr17,1,391236,391236,0.01
3534,chr17,1,391243,391243,0.01
3535,chr17,1,391251,391251,0.01
3536,chr17,2,391255,391256,0.01
3537,chr17,1,391272,391272,0.01
3538,chr17,2,391274,391275,0.01
3539,chr17,1,391277,391277,0.01
3540,chr17,2,391305,391306,0.01
3541,chr17,1,391317,391317,0.01
3542,chr17,1,391325,391325,0.01
3543,chr17,1,391327,391327,0.01
3544,chr17,3,391336,391338,0.01
3545,chr17,1,391343,391343,0.01
3546,chr17,1,391348,391348,0.01
3547,chr17,1,391361,391361,0.01
3548,chr17,1,391364,391364,0.01
3549,chr17,1,391381,391381,0.01
3550,chr17,1,391385,391385,0.01
3551,chr17,1,391387,391387,0.01
3552,chr17,1,391399,391399,0.01
3553,chr17,1,391402,391402,0.01
3554,chr17,1,391412,391412,0.01
3555,chr17,1,391416,391416,0.01
3556,chr17,1,391427,391427,0.01
3557,chr17,1,391432,391432,0.01
3558,chr17,2,391435,391436,0.01
3559,chr17,1,391448,391448,0.01
3560,chr17,2,391456,391457,0.01
3561,chr17,1,391459,391459,0.01
3562,chr17,1,391462,391462,0.01
3563,chr17,1,391479,391479,0.01
3564,chr17,3,391486,391488,0.01
3565,chr17,2,391504,391505,0.01
3566,chr17,1,391510,391510,0.01
3567,chr17,1,391514,391514,0.01
3568,chr17,1,391516,391516,0.01
3569,chr17,2,391524,391525,0.01
3570,chr17,1,391532,391532,0.01
3571,chr17,1,391534,391534,0.01
3572,chr17,1,391552,391552,0.01
3573,chr17,2,391558,391559,0.01
3574,chr17,1,391568,391568,0.01
3575,chr17,1,391571,391571,0.01
3576,chr17,1,391587,391587,0.01
3577,chr17,2,391592,391593,0.01
3578,chr17,2,391598,391599,0.01
3579,chr17,1,391602,391602,0.01
3580,chr17,1,391609,391609,0.01
3581,chr17,1,391615,391615,0.01
3582,chr17,2,391623,391624,0.01
3583,chr17,1,391627,391627,0.01
3584,chr17,1,391632,391632,0.01
3585,chr17,1,391640,391640,0.01
3586,chr17,1,391652,391652,0.01
3587,chr17,1,391657,391657,0.01
3588,chr17,1,391659,391659,0.01
3589,chr17,3,391666,391668,0.01
3590,chr17,1,391678,391678,0.01
3591,chr17,1,391680,391680,0.01
3592,chr17,1,391682,391682,0.01
3593,chr17,4,391687,391690,0.01
3594,chr17,1,391717,391717,0.01
3595,chr17,1,391719,391719,0.01
3596,chr17,1,391722,391722,0.01
3597,chr17,1,391732,391732,0.01
3598,chr17,1,391739,391739,0.01
3599,chr17,1,391749,391749,0.01
3600,chr17,2,391753,391754,0.01
3601,chr17,1,391760,391760,0.01
3602,chr17,2,391782,391783,0.01
3603,chr17,1,391790,391790,0.01
3604,chr17,1,391794,391794,0.01
3605,chr17,1,391807,391807,0.01
3606,chr17,1,391809,391809,0.01
3607,chr17,1,391822,391822,0.01
3608,chr17,1,391826,391826,0.01
3609,chr17,2,391829,391830,0.01
3610,chr17,1,391846,391846,0.01
3611,chr17,2,391877,391878,0.01
3612,chr17,1,391890,391890,0.01
3613,chr17,1,391898,391898,0.01
3614,chr17,1,391927,391927,0.01
3615,chr17,3,391948,391950,0.01
3616,chr17,1,391952,391952,0.01
3617,chr17,1,391962,391962,0.01
3618,chr17,1,391965,391965,0.01
3619,chr17,3,391975,391977,0.01
3620,chr17,1,391979,391979,0.01
3621,chr17,1,391982,391982,0.01
3622,chr17,1,391986,391986,0.01
3623,chr17,4,392004,392007,0.01
3624,chr17,1,392014,392014,0.01
3625,chr17,1,392018,392018,0.01
3626,chr17,1,392031,392031,0.01
3627,chr17,1,392039,392039,0.01
3628,chr17,1,392052,392052,0.01
3629,chr17,1,392060,392060,0.01
3630,chr17,1,392062,392062,0.01
3631,chr17,1,392071,392071,0.01
3632,chr17,2,392078,392079,0.01
3633,chr17,1,392092,392092,0.01
3634,chr17,1,392108,392108,0.01
3635,chr17,1,392123,392123,0.01
3636,chr17,1,392128,392128,0.01
3637,chr17,6,392142,392147,0.01
3638,chr17,1,392191,392191,0.01
3639,chr17,1,392197,392197,0.01
3640,chr17,1,392204,392204,0.01
3641,chr17,1,392212,392212,0.01
3642,chr17,1,392220,392220,0.01
3643,chr17,1,392224,392224,0.01
3644,chr17,1,392244,392244,0.01
3645,chr17,1,392253,392253,0.01
3646,chr17,1,392257,392257,0.01
3647,chr17,1,392280,392280,0.01
3648,chr17,1,392282,392282,0.01
3649,chr17,2,392291,392292,0.01
3650,chr17,1,392309,392309,0.01
3651,chr17,1,392335,392335,0.01
3652,chr17,1,392358,392358,0.01
3653,chr17,2,392376,392377,0.01
3654,chr17,1,392380,392380,0.01
3655,chr17,2,392391,392392,0.01
3656,chr17,1,392394,392394,0.01
3657,chr17,1,392401,392401,0.01
3658,chr17,1,392405,392405,0.01
3659,chr17,1,392426,392426,0.01
3660,chr17,1,392513,392513,0.01
3661,chr17,1,392522,392522,0.01
3662,chr17,1,392524,392524,0.01
3663,chr17,1,392529,392529,0.01
3664,chr17,1,392538,392538,0.01
3665,chr17,1,392541,392541,0.01
3666,chr17,1,392565,392565,0.01
3667,chr17,1,392574,392574,0.01
3668,chr17,2,392577,392578,0.01
3669,chr17,1,392602,392602,0.01
3670,chr17,2,392607,392608,0.01
3671,chr17,1,392640,392640,0.01
3672,chr17,2,392668,392669,0.01
3673,chr17,3,392681,392683,0.01
3674,chr17,1,392699,392699,0.01
3675,chr17,1,392715,392715,0.01
3676,chr17,1,392750,392750,0.01
3677,chr17,1,392812,392812,0.01
3678,chr17,1,392819,392819,0.01
3679,chr17,4,392832,392835,0.01
3680,chr17,1,392848,392848,0.01
3681,chr17,1,392858,392858,0.01
3682,chr17,1,392861,392861,0.01
3683,chr17,4,392866,392869,0.01
3684,chr17,1,392896,392896,0.01
3685,chr17,1,392905,392905,0.01
3686,chr17,1,392923,392923,0.01
3687,chr17,2,392929,392930,0.01
3688,chr17,1,392932,392932,0.01
3689,chr17,1,392935,392935,0.01
3690,chr17,1,392944,392944,0.01
3691,chr17,1,392946,392946,0.01
3692,chr17,3,392951,392953,0.01
3693,chr17,1,392955,392955,0.01
3694,chr17,1,392960,392960,0.01
3695,chr17,1,392962,392962,0.01
3696,chr17,1,392965,392965,0.01
3697,chr17,1,392975,392975,0.01
3698,chr17,3,392989,392991,0.01
3699,chr17,1,392994,392994,0.01
3700,chr17,1,393005,393005,0.01
3701,chr17,2,393011,393012,0.01
3702,chr17,1,393042,393042,0.01
3703,chr17,1,393055,393055,0.01
3704,chr17,3,393062,393064,0.01
3705,chr17,1,393080,393080,0.01
3706,chr17,1,393091,393091,0.01
3707,chr17,1,393104,393104,0.01
3708,chr17,3,393123,393125,0.01
3709,chr17,1,393127,393127,0.01
3710,chr17,1,393137,393137,0.01
3711,chr17,1,393142,393142,0.01
3712,chr17,1,393152,393152,0.01
3713,chr17,2,393158,393159,0.01
3714,chr17,2,393164,393165,0.01
3715,chr17,1,393182,393182,0.01
3716,chr17,1,393191,393191,0.01
3717,chr17,1,393200,393200,0.01
3718,chr17,2,393233,393234,0.01
3719,chr17,1,393240,393240,0.01
3720,chr17,2,393243,393244,0.01
3721,chr17,1,393256,393256,0.01
3722,chr17,1,393267,393267,0.01
3723,chr17,1,393269,393269,0.01
3724,chr17,1,393287,393287,0.01
3725,chr17,1,393289,393289,0.01
3726,chr17,2,393307,393308,0.01
3727,chr17,4,393310,393313,0.01
3728,chr17,1,393324,393324,0.01
3729,chr17,8,393329,393336,0.01
3730,chr17,1,393347,393347,0.01
3731,chr17,1,393355,393355,0.01
3732,chr17,2,393385,393386,0.01
3733,chr17,1,393390,393390,0.01
3734,chr17,1,393419,393419,0.01
3735,chr17,1,393423,393423,0.01
3736,chr17,1,393425,393425,0.01
3737,chr17,1,393433,393433,0.01
3738,chr17,1,393438,393438,0.01
3739,chr17,1,393443,393443,0.01
3740,chr17,1,393446,393446,0.01
3741,chr17,1,393452,393452,0.01
3742,chr17,1,393456,393456,0.01
3743,chr17,1,393475,393475,0.01
3744,chr17,1,393505,393505,0.01
3745,chr17,1,393511,393511,0.01
3746,chr17,2,393513,393514,0.01
3747,chr17,2,393535,393536,0.01
3748,chr17,1,393546,393546,0.01
3749,chr17,1,393554,393554,0.01
3750,chr17,2,393576,393577,0.01
3751,chr17,1,393609,393609,0.01
3752,chr17,1,393644,393644,0.01
3753,chr17,2,393651,393652,0.01
3754,chr17,1,393655,393655,0.01
3755,chr17,1,393668,393668,0.01
3756,chr17,1,393672,393672,0.01
3757,chr17,1,393687,393687,0.01
3758,chr17,1,393689,393689,0.01
3759,chr17,1,393709,393709,0.01
3760,chr17,2,393712,393713,0.01
3761,chr17,1,393721,393721,0.01
3762,chr17,1,393736,393736,0.01
3763,chr17,1,393748,393748,0.01
3764,chr17,1,393754,393754,0.01
3765,chr17,1,393781,393781,0.01
3766,chr17,1,393784,393784,0.01
3767,chr17,1,393834,393834,0.01
3768,chr17,2,393850,393851,0.01
3769,chr17,1,393858,393858,0.01
3770,chr17,1,393874,393874,0.01
3771,chr17,1,393904,393904,0.01
3772,chr17,1,393936,393936,0.01
3773,chr17,1,393938,393938,0.01
3774,chr17,1,393953,393953,0.01
3775,chr17,1,393959,393959,0.01
3776,chr17,1,393963,393963,0.01
3777,chr17,1,393966,393966,0.01
3778,chr17,1,393973,393973,0.01
3779,chr17,1,393995,393995,0.01
3780,chr17,1,393998,393998,0.01
3781,chr17,1,394004,394004,0.01
3782,chr17,1,394006,394006,0.01
3783,chr17,1,394027,394027,0.01
3784,chr17,1,394040,394040,0.01
3785,chr17,1,394045,394045,0.01
3786,chr17,1,394052,394052,0.01
3787,chr17,2,394067,394068,0.01
3788,chr17,2,394075,394076,0.01
3789,chr17,2,394102,394103,0.01
3790,chr17,2,394112,394113,0.01
3791,chr17,2,394119,394120,0.01
3792,chr17,1,394149,394149,0.01
3793,chr17,1,394152,394152,0.01
3794,chr17,1,394154,394154,0.01
3795,chr17,1,394156,394156,0.01
3796,chr17,4,394166,394169,0.01
3797,chr17,2,394172,394173,0.01
3798,chr17,1,394182,394182,0.01
3799,chr17,1,394189,394189,0.01
3800,chr17,1,394193,394193,0.01
3801,chr17,1,394204,394204,0.01
3802,chr17,1,394209,394209,0.01
3803,chr17,1,394211,394211,0.01
3804,chr17,1,394214,394214,0.01
3805,chr17,3,394222,394224,0.01
3806,chr17,1,394248,394248,0.01
3807,chr17,2,394255,394256,0.01
3808,chr17,1,394280,394280,0.01
3809,chr17,1,394293,394293,0.01
3810,chr17,1,394297,394297,0.01
3811,chr17,1,394301,394301,0.01
3812,chr17,2,394311,394312,0.01
3813,chr17,3,394320,394322,0.01
3814,chr17,1,394337,394337,0.01
3815,chr17,3,394347,394349,0.01
3816,chr17,1,394360,394360,0.01
3817,chr17,2,394373,394374,0.01
3818,chr17,1,394377,394377,0.01
3819,chr17,1,394398,394398,0.01
3820,chr17,1,394404,394404,0.01
3821,chr17,1,394406,394406,0.01
3822,chr17,1,394420,394420,0.01
3823,chr17,1,394446,394446,0.01
3824,chr17,1,394471,394471,0.01
3825,chr17,1,394476,394476,0.01
3826,chr17,1,394490,394490,0.01
3827,chr17,1,394498,394498,0.01
3828,chr17,1,394502,394502,0.01
3829,chr17,1,394513,394513,0.01
3830,chr17,2,394518,394519,0.01
3831,chr17,2,394532,394533,0.01
3832,chr17,1,394558,394558,0.01
3833,chr17,1,394572,394572,0.01
3834,chr17,1,394589,394589,0.01
3835,chr17,1,394598,394598,0.01
3836,chr17,1,394617,394617,0.01
3837,chr17,1,394620,394620,0.01
3838,chr17,1,394625,394625,0.01
3839,chr17,1,394633,394633,0.01
3840,chr17,1,394641,394641,0.01
3841,chr17,1,394672,394672,0.01
3842,chr17,2,394682,394683,0.01
3843,chr17,1,394687,394687,0.01
3844,chr17,1,394689,394689,0.01
3845,chr17,1,394695,394695,0.01
3846,chr17,2,394719,394720,0.01
3847,chr17,1,394722,394722,0.01
3848,chr17,1,394728,394728,0.01
3849,chr17,1,394733,394733,0.01
3850,chr17,1,394741,394741,0.01
3851,chr17,4,394748,394751,0.01
3852,chr17,1,394773,394773,0.01
3853,chr17,1,394777,394777,0.01
3854,chr17,1,394780,394780,0.01
3855,chr17,1,394783,394783,0.01
3856,chr17,1,394794,394794,0.01
3857,chr17,1,394798,394798,0.01
3858,chr17,1,394802,394802,0.01
3859,chr17,1,394807,394807,0.01
3860,chr17,1,394811,394811,0.01
3861,chr17,1,394815,394815,0.01
3862,chr17,1,394824,394824,0.01
3863,chr17,2,394826,394827,0.01
3864,chr17,1,394829,394829,0.01
3865,chr17,1,394831,394831,0.01
3866,chr17,1,394843,394843,0.01
3867,chr17,1,394846,394846,0.01
3868,chr17,2,394863,394864,0.01
3869,chr17,4,394869,394872,0.01
3870,chr17,1,394886,394886,0.01
3871,chr17,1,394902,394902,0.01
3872,chr17,1,394911,394911,0.01
3873,chr17,1,394928,394928,0.01
3874,chr17,1,394937,394937,0.01
3875,chr17,1,394963,394963,0.01
3876,chr17,1,394968,394968,0.01
3877,chr17,1,394976,394976,0.01
3878,chr17,1,394978,394978,0.01
3879,chr17,1,394988,394988,0.01
3880,chr17,1,394995,394995,0.01
3881,chr17,2,394997,394998,0.01
3882,chr17,1,395000,395000,0.01
3883,chr17,1,395002,395002,0.01
3884,chr17,1,395023,395023,0.01
3885,chr17,1,395033,395033,0.01
3886,chr17,1,395052,395052,0.01
3887,chr17,1,395058,395058,0.01
3888,chr17,1,395064,395064,0.01
3889,chr17,1,395067,395067,0.01
3890,chr17,1,395079,395079,0.01
3891,chr17,1,395089,395089,0.01
3892,chr17,1,395100,395100,0.01
3893,chr17,1,395109,395109,0.01
3894,chr17,1,395125,395125,0.01
3895,chr17,1,395128,395128,0.01
3896,chr17,1,395133,395133,0.01
3897,chr17,1,395135,395135,0.01
3898,chr17,1,395156,395156,0.01
3899,chr17,1,395162,395162,0.01
3900,chr17,1,395164,395164,0.01
3901,chr17,1,395173,395173,0.01
3902,chr17,1,395204,395204,0.01
3903,chr17,1,395214,395214,0.01
3904,chr17,1,395216,395216,0.01
3905,chr17,1,395222,395222,0.01
3906,chr17,1,395227,395227,0.01
3907,chr17,1,395237,395237,0.01
3908,chr17,1,395240,395240,0.01
3909,chr17,2,395246,395247,0.01
3910,chr17,1,395255,395255,0.01
3911,chr17,1,395260,395260,0.01
3912,chr17,2,395263,395264,0.01
3913,chr17,1,395268,395268,0.01
3914,chr17,1,395280,395280,0.01
3915,chr17,1,395288,395288,0.01
3916,chr17,1,395292,395292,0.01
3917,chr17,2,395319,395320,0.01
3918,chr17,1,395325,395325,0.01
3919,chr17,1,395335,395335,0.01
3920,chr17,1,395341,395341,0.01
3921,chr17,3,395344,395346,0.01
3922,chr17,1,395361,395361,0.01
3923,chr17,1,395363,395363,0.01
3924,chr17,1,395378,395378,0.01
3925,chr17,2,395397,395398,0.01
3926,chr17,1,395431,395431,0.01
3927,chr17,2,395437,395438,0.01
3928,chr17,1,395456,395456,0.01
3929,chr17,1,395463,395463,0.01
3930,chr17,1,395467,395467,0.01
3931,chr17,1,395474,395474,0.01
3932,chr17,1,395480,395480,0.01
3933,chr17,1,395493,395493,0.01
3934,chr17,1,395512,395512,0.01
3935,chr17,1,395515,395515,0.01
3936,chr17,1,395519,395519,0.01
3937,chr17,1,395540,395540,0.01
3938,chr17,1,395545,395545,0.01
3939,chr17,1,395548,395548,0.01
3940,chr17,1,395564,395564,0.01
3941,chr17,2,395569,395570,0.01
3942,chr17,1,395573,395573,0.01
3943,chr17,1,395615,395615,0.01
3944,chr17,4,395648,395651,0.01
3945,chr17,1,395696,395696,0.01
3946,chr17,1,395702,395702,0.01
3947,chr17,4,395711,395714,0.01
3948,chr17,1,395723,395723,0.01
3949,chr17,1,395747,395747,0.01
3950,chr17,1,395755,395755,0.01
3951,chr17,1,395766,395766,0.01
3952,chr17,2,395788,395789,0.01
3953,chr17,2,395803,395804,0.01
3954,chr17,1,395841,395841,0.01
3955,chr17,1,395855,395855,0.01
3956,chr17,1,395908,395908,0.01
3957,chr17,3,395924,395926,0.01
3958,chr17,3,395964,395966,0.01
3959,chr17,1,395969,395969,0.01
3960,chr17,2,395972,395973,0.01
3961,chr17,2,395978,395979,0.01
3962,chr17,1,395996,395996,0.01
3963,chr17,1,396007,396007,0.01
3964,chr17,1,396014,396014,0.01
3965,chr17,1,396017,396017,0.01
3966,chr17,1,396019,396019,0.01
3967,chr17,3,396052,396054,0.01
3968,chr17,1,396057,396057,0.01
3969,chr17,5,396060,396064,0.01
3970,chr17,1,396069,396069,0.01
3971,chr17,1,396077,396077,0.01
3972,chr17,2,396088,396089,0.01
3973,chr17,1,396095,396095,0.01
3974,chr17,1,396108,396108,0.01
3975,chr17,1,396153,396153,0.01
3976,chr17,3,396157,396159,0.01
3977,chr17,1,396166,396166,0.01
3978,chr17,1,396173,396173,0.01
3979,chr17,1,396182,396182,0.01
3980,chr17,1,396193,396193,0.01
3981,chr17,1,396195,396195,0.01
3982,chr17,1,396201,396201,0.01
3983,chr17,1,396206,396206,0.01
3984,chr17,1,396210,396210,0.01
3985,chr17,1,396227,396227,0.01
3986,chr17,2,396234,396235,0.01
3987,chr17,1,396263,396263,0.01
3988,chr17,1,396271,396271,0.01
3989,chr17,4,396275,396278,0.01
3990,chr17,1,396304,396304,0.01
3991,chr17,1,396314,396314,0.01
3992,chr17,1,396318,396318,0.01
3993,chr17,1,396321,396321,0.01
3994,chr17,1,396324,396324,0.01
3995,chr17,3,396349,396351,0.01
3996,chr17,1,396370,396370,0.01
3997,chr17,1,396386,396386,0.01
3998,chr17,2,396398,396399,0.01
3999,chr17,2,396402,396403,0.01
4000,chr17,1,396415,396415,0.01
4001,chr17,1,396420,396420,0.01
4002,chr17,1,396435,396435,0.01
4003,chr17,1,396442,396442,0.01
4004,chr17,1,396452,396452,0.01
4005,chr17,1,396454,396454,0.01
4006,chr17,1,396477,396477,0.01
4007,chr17,1,396479,396479,0.01
4008,chr17,1,396501,396501,0.01
4009,chr17,1,396528,396528,0.01
4010,chr17,3,396535,396537,0.01
4011,chr17,1,396544,396544,0.01
4012,chr17,1,396559,396559,0.01
4013,chr17,1,396568,396568,0.01
4014,chr17,2,396571,396572,0.01
4015,chr17,1,396578,396578,0.01
4016,chr17,1,396589,396589,0.01
4017,chr17,1,396611,396611,0.01
4018,chr17,2,396650,396651,0.01
4019,chr17,2,396710,396711,0.01
4020,chr17,1,396742,396742,0.01
4021,chr17,1,396752,396752,0.01
4022,chr17,2,396763,396764,0.01
4023,chr17,1,396766,396766,0.01
4024,chr17,1,396769,396769,0.01
4025,chr17,1,396807,396807,0.01
4026,chr17,1,396812,396812,0.01
4027,chr17,1,396827,396827,0.01
4028,chr17,1,396836,396836,0.01
4029,chr17,1,396840,396840,0.01
4030,chr17,1,396846,396846,0.01
4031,chr17,1,396848,396848,0.01
4032,chr17,1,396852,396852,0.01
4033,chr17,1,396860,396860,0.01
4034,chr17,2,396882,396883,0.01
4035,chr17,1,396922,396922,0.01
4036,chr17,1,396927,396927,0.01
4037,chr17,3,396933,396935,0.01
4038,chr17,1,396964,396964,0.01
4039,chr17,2,396967,396968,0.01
4040,chr17,1,396972,396972,0.01
4041,chr17,1,396978,396978,0.01
4042,chr17,1,396988,396988,0.01
4043,chr17,1,396992,396992,0.01
4044,chr17,1,396994,396994,0.01
4045,chr17,1,397016,397016,0.01
4046,chr17,1,397022,397022,0.01
4047,chr17,1,397027,397027,0.01
4048,chr17,1,397053,397053,0.01
4049,chr17,2,397056,397057,0.01
4050,chr17,1,397077,397077,0.01
4051,chr17,1,397102,397102,0.01
4052,chr17,1,397112,397112,0.01
4053,chr17,1,397116,397116,0.01
4054,chr17,1,397118,397118,0.01
4055,chr17,1,397124,397124,0.01
4056,chr17,1,397136,397136,0.01
4057,chr17,1,397157,397157,0.01
4058,chr17,1,397168,397168,0.01
4059,chr17,1,397195,397195,0.01
4060,chr17,1,397197,397197,0.01
4061,chr17,1,397219,397219,0.01
4062,chr17,1,397265,397265,0.01
4063,chr17,1,397267,397267,0.01
4064,chr17,2,397271,397272,0.01
4065,chr17,1,397278,397278,0.01
4066,chr17,2,397289,397290,0.01
4067,chr17,1,397314,397314,0.01
4068,chr17,1,397321,397321,0.01
4069,chr17,1,397331,397331,0.01
4070,chr17,3,397337,397339,0.01
4071,chr17,1,397344,397344,0.01
4072,chr17,1,397352,397352,0.01
4073,chr17,1,397362,397362,0.01
4074,chr17,2,397371,397372,0.01
4075,chr17,1,397383,397383,0.01
4076,chr17,1,397385,397385,0.01
4077,chr17,1,397387,397387,0.01
4078,chr17,1,397396,397396,0.01
4079,chr17,1,397411,397411,0.01
4080,chr17,2,397430,397431,0.01
4081,chr17,1,397472,397472,0.01
4082,chr17,5,397491,397495,0.01
4083,chr17,2,397505,397506,0.01
4084,chr17,2,397517,397518,0.01
4085,chr17,1,397521,397521,0.01
4086,chr17,1,397529,397529,0.01
4087,chr17,1,397538,397538,0.01
4088,chr17,1,397554,397554,0.01
4089,chr17,1,397560,397560,0.01
4090,chr17,1,397577,397577,0.01
4091,chr17,1,397592,397592,0.01
4092,chr17,1,397601,397601,0.01
4093,chr17,1,397607,397607,0.01
4094,chr17,1,397613,397613,0.01
4095,chr17,1,397648,397648,0.01
4096,chr17,1,397650,397650,0.01
4097,chr17,1,397656,397656,0.01
4098,chr17,2,397660,397661,0.01
4099,chr17,1,397676,397676,0.01
4100,chr17,2,397684,397685,0.01
4101,chr17,1,397688,397688,0.01
4102,chr17,1,397692,397692,0.01
4103,chr17,1,397695,397695,0.01
4104,chr17,1,397705,397705,0.01
4105,chr17,1,397714,397714,0.01
4106,chr17,1,397720,397720,0.01
4107,chr17,3,397731,397733,0.01
4108,chr17,1,397745,397745,0.01
4109,chr17,1,397747,397747,0.01
4110,chr17,1,397751,397751,0.01
4111,chr17,1,397754,397754,0.01
4112,chr17,1,397771,397771,0.01
4113,chr17,1,397786,397786,0.01
4114,chr17,1,397792,397792,0.01
4115,chr17,1,397796,397796,0.01
4116,chr17,3,397809,397811,0.01
4117,chr17,1,397816,397816,0.01
4118,chr17,1,397818,397818,0.01
4119,chr17,1,397830,397830,0.01
4120,chr17,1,397849,397849,0.01
4121,chr17,1,397851,397851,0.01
4122,chr17,1,397854,397854,0.01
4123,chr17,1,397860,397860,0.01
4124,chr17,1,397863,397863,0.01
4125,chr17,1,397866,397866,0.01
4126,chr17,1,397868,397868,0.01
4127,chr17,1,397877,397877,0.01
4128,chr17,4,397882,397885,0.01
4129,chr17,1,397888,397888,0.01
4130,chr17,1,397901,397901,0.01
4131,chr17,1,397908,397908,0.01
4132,chr17,1,397911,397911,0.01
4133,chr17,1,397916,397916,0.01
4134,chr17,1,397941,397941,0.01
4135,chr17,1,397943,397943,0.01
4136,chr17,1,397953,397953,0.01
4137,chr17,1,397963,397963,0.01
4138,chr17,1,397973,397973,0.01
4139,chr17,1,397975,397975,0.01
4140,chr17,1,397989,397989,0.01
4141,chr17,1,397992,397992,0.01
4142,chr17,1,398010,398010,0.01
4143,chr17,2,398014,398015,0.01
4144,chr17,2,398020,398021,0.01
4145,chr17,3,398032,398034,0.01
4146,chr17,1,398041,398041,0.01
4147,chr17,1,398059,398059,0.01
4148,chr17,3,398064,398066,0.01
4149,chr17,3,398079,398081,0.01
4150,chr17,2,398104,398105,0.01
4151,chr17,1,398150,398150,0.01
4152,chr17,1,398164,398164,0.01
4153,chr17,1,398172,398172,0.01
4154,chr17,1,398189,398189,0.01
4155,chr17,1,398193,398193,0.01
4156,chr17,1,398214,398214,0.01
4157,chr17,1,398220,398220,0.01
4158,chr17,1,398223,398223,0.01
4159,chr17,1,398238,398238,0.01
4160,chr17,1,398243,398243,0.01
4161,chr17,1,398253,398253,0.01
4162,chr17,1,398273,398273,0.01
4163,chr17,1,398277,398277,0.01
4164,chr17,1,398283,398283,0.01
4165,chr17,1,398314,398314,0.01
4166,chr17,1,398332,398332,0.01
4167,chr17,1,398357,398357,0.01
4168,chr17,1,398360,398360,0.01
4169,chr17,4,398373,398376,0.01
4170,chr17,1,398405,398405,0.01
4171,chr17,1,398407,398407,0.01
4172,chr17,1,398421,398421,0.01
4173,chr17,3,398432,398434,0.01
4174,chr17,2,398445,398446,0.01
4175,chr17,1,398454,398454,0.01
4176,chr17,3,398456,398458,0.01
4177,chr17,2,398465,398466,0.01
4178,chr17,1,398473,398473,0.01
4179,chr17,3,398502,398504,0.01
4180,chr17,2,398510,398511,0.01
4181,chr17,4,398520,398523,0.01
4182,chr17,1,398531,398531,0.01
4183,chr17,1,398539,398539,0.01
4184,chr17,2,398549,398550,0.01
4185,chr17,1,398555,398555,0.01
4186,chr17,1,398571,398571,0.01
4187,chr17,1,398576,398576,0.01
4188,chr17,1,398579,398579,0.01
4189,chr17,1,398589,398589,0.01
4190,chr17,1,398592,398592,0.01
4191,chr17,1,398596,398596,0.01
4192,chr17,1,398602,398602,0.01
4193,chr17,1,398609,398609,0.01
4194,chr17,2,398611,398612,0.01
4195,chr17,1,398616,398616,0.01
4196,chr17,1,398641,398641,0.01
4197,chr17,1,398644,398644,0.01
4198,chr17,3,398668,398670,0.01
4199,chr17,1,398683,398683,0.01
4200,chr17,1,398701,398701,0.01
4201,chr17,1,398705,398705,0.01
4202,chr17,1,398729,398729,0.01
4203,chr17,2,398750,398751,0.01
4204,chr17,2,398763,398764,0.01
4205,chr17,1,398776,398776,0.01
4206,chr17,1,398780,398780,0.01
4207,chr17,1,398783,398783,0.01
4208,chr17,1,398791,398791,0.01
4209,chr17,1,398800,398800,0.01
4210,chr17,1,398804,398804,0.01
4211,chr17,1,398815,398815,0.01
4212,chr17,1,398826,398826,0.01
4213,chr17,1,398843,398843,0.01
4214,chr17,1,398858,398858,0.01
4215,chr17,1,398866,398866,0.01
4216,chr17,3,398884,398886,0.01
4217,chr17,1,398894,398894,0.01
4218,chr17,1,398897,398897,0.01
4219,chr17,4,398928,398931,0.01
4220,chr17,1,398955,398955,0.01
4221,chr17,2,398958,398959,0.01
4222,chr17,3,398973,398975,0.01
4223,chr17,2,398977,398978,0.01
4224,chr17,2,398999,399000,0.01
4225,chr17,1,399012,399012,0.01
4226,chr17,1,399024,399024,0.01
4227,chr17,1,399027,399027,0.01
4228,chr17,2,399045,399046,0.01
4229,chr17,1,399055,399055,0.01
4230,chr17,2,399079,399080,0.01
4231,chr17,1,399111,399111,0.01
4232,chr17,1,399150,399150,0.01
4233,chr17,1,399204,399204,0.01
4234,chr17,1,399233,399233,0.01
4235,chr17,1,399243,399243,0.01
4236,chr17,1,399261,399261,0.01
4237,chr17,1,399275,399275,0.01
4238,chr17,2,399297,399298,0.01
4239,chr17,2,399313,399314,0.01
4240,chr17,1,399316,399316,0.01
4241,chr17,1,399331,399331,0.01
4242,chr17,1,399347,399347,0.01
4243,chr17,1,399351,399351,0.01
